,Title,Company,Job Description,Seniority Level,Employment Type,Industry,Job Function,Link
121,Production Manager,Top Quality Recruitment (TQR),"Position Summary:
 Production Manager will be responsible for overseeing a staff of supervisors and employees in a plant that operates three shifts, to ensure quality products are produced in a safe and efficient manner. Duties include planning, staffing, employee relations, training, process control monitoring, quality, safety, sanitation and packaging.",Mid-Senior level,Full-time,Food & Beverages,Manufacturing,https://www.linkedin.com/jobs/view/production-manager-at-top-quality-recruitment-tqr-2256604781?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=11&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
122,"Associate, Account Management",EAB,"About EAB

At EAB , our mission is to make education smarter and our communities stronger. We harness the collective power of more than 1,900 schools, colleges, and universities to uncover and apply proven practices and transformative insights. And since complex problems require multifaceted solutions, we work with each school differently to apply these insights through a customized blend of research, technology, and services. From kindergarten to college and beyond, EAB partners with education leaders, practitioners, and staff to accelerate progress and drive results across three key areas: enrollment management, student success, and institutional operations and strategy.

At EAB, we serve not only our partner institutions but each other—that's why we are always working to make sure our employees love their jobs and are invested in their community. See how we've been recognized for this dedication to our employees by checking out our recent awards .

For more information, visit our Careers page.





As a critical member of EAB Account Management, the Associate will support the Account Management organization in driving partner utilization and impact across our Technology, Four Year Research and/or K12 teams. The Associate will manage inbound and outbound requests, and schedule and prepare team members for interactions with top educational leaders. The Associate will also collaborate across the sales, partner success, marketing and account management team to develop and execute service and growth strategies that drive the business forward and help us achieve our goals.

This role is based in Washington D.C.













Consistent with our belief that our employees are our most valuable resource, EAB offers a competitive and inclusive benefits package.

At EAB, we believe that to fulfill our mission to “make education smarter and our communities stronger” we need team members who bring a diversity of perspectives to the table and a workplace where each team member is valued, respected and heard.

To that end, EAB is an Equal Opportunity Employer, and we make employment decisions on the basis of qualifications, merit and business need. We don’t discriminate on the basis of race, religion, color, sex, gender identity or expression, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law.",Entry level,Full-time,Education Management,Research,https://www.linkedin.com/jobs/view/associate-account-management-at-eab-2225809959?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=12&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
123,Training Specialist,Chainalysis Inc.,"The Chainalysis Training Team drives education of cryptocurrency technology & Chainalysis products throughout the ecosystem. Our team can command a room, build engaging content, and speak to every level of expertise. We know how our products are used in the real-world and help our customers become experts too.

Training Specialists are the face of those educational efforts, leading training and certification programs for high profile participants both in-person and virtually to a global audience. This utility player wears multiple hats at Chainalysis - delivering hands-on product experience to the world’s leading investigative and compliance practitioners, driving launch and evolution of our training programs, and collaborating with SMEs across our product and customer-facing teams. We measure success through the number of certified users, training quality,  and the product adoption and skill level of each user.",Mid-Senior level,Full-time,Computer Software,Training,https://www.linkedin.com/jobs/view/training-specialist-at-chainalysis-inc-2258285114?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=13&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
124,Membership Specialist,Ajilon DC,"A prominent association is seeking to hire a Membership Specialist in their Washington, DC office. This organization provides expert guidance and insight into some of today’s most important health policy issues. If you have experience working with membership, love member engagement strategy, have the ability to prioritize your time to manage multiple projects, and have strong communication skills, look no further! If hired, you will be paid an annual salary of $50,000-$55,000 based on experience.",Associate,Full-time,Nonprofit Organization Management,Other,https://www.linkedin.com/jobs/view/membership-specialist-at-ajilon-dc-2258507849?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=14&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
125,eDisc and Records Analyst,TriNet,"TriNet is a leading provider of comprehensive human resources solutions for small to midsize businesses (SMBs). We enhance business productivity by enabling our clients to outsource their HR function to one strategic partner and allowing them to focus on operating and growing their core businesses. Our full-service HR solutions include features such as payroll processing, human capital consulting, employment law compliance and employee benefits, including health insurance, retirement plans and workers’ compensation insurance.

TriNet has a nationwide presence and an experienced executive team. Our stock is publicly traded on the NYSE under the ticker symbol TNET. If you’re passionate about innovation and making an impact on the large SMB market, come join us as we power our clients’ business success with extraordinary HR.



The Records Management team is responsible for maintaining, managing, and disposing of business records and information created by and for the organization. Reporting to the Lead Counsel for Data, Security, and Technology, the Records and eDiscovery Analyst plays an important role in the management of TriNet’s litigation holds and preservation requests, as well as assisting in the day-to-day operations of the Records Management program. This position will require interaction with individuals at all levels in TriNet’s business, other members of the firm's Legal and Compliance team, outside counsel, and vendors. This role requires solid technical knowledge to communicate effectively with system owners as well as an in-depth understanding of the eDiscovery process.

Additional responsibilities include assisting other members of the Records Management team with managing the information lifecycle at TriNet, from creation to archival or disposal. You will facilitate the application and enforcement of our data retention policies and help guide departments to design and implement compliant records management strategies. Other duties may include assisting with training, workflow design, and physical document management.






Education: Bachelor’s Degree, or equivalent education and or related work experience.
Training Requirements (licenses, programs, or certificates): Any certifications related to records management, eDiscovery, or information governance will be considered a plus.









Please Note: TriNet reserves the right to change or modify job duties and assignments at any time. The above job description is not all encompassing. Position functions and qualifications may vary depending on business necessity.

TriNet is an Equal Opportunity Employer and does not discriminate against applicants based on race, religion, color, disability, medical condition, legally protected genetic information, national origin, gender, sexual orientation, marital status, gender identity or expression, sex (including pregnancy, childbirth or related medical conditions), age, veteran status or other legally protected characteristics. Any applicant with a mental or physical disability who requires an accommodation during the application process should contact recruiting@trinet.com to request such an accommodation.",Not Applicable,Full-time,Computer Software,Legal,https://www.linkedin.com/jobs/view/edisc-and-records-analyst-at-trinet-2257644558?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=15&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
126,Document Management Analyst,Leidos,"Description

Job Description:

Leidos is a Fortune 500™ company aimed at embracing and solving some of the world’s most pressing challenges. Through science and technology,Leidos makes the world safer, healthier and more efficient.

Leidos is looking for a to work on-site in support of the Civil Rights Division in Washington, DC. You will work in a fast-paced and diverse environment and will have a management team that encourages your career development and growth.

Be part of a dynamic team in providing legal and technical services to support the Department of Justice. From emails and instant messages, to electronic devices, and social media systems, we’re equipped to meet the challenge of forensically capturing, reviewing, and illuminating the “smoking gun” evidence. Join us and make a difference!

In this role, you will gain many intangible skills, such as time and task management, critical thinking and problem solving, the ability to communicate complicated problems in a concise manner, as well as solve complex problems using available tools.



Performs moderately complex litigation support tasks, including, for example, detailed review and analysis of case materials in a broad range of subject matters, such as financial records, health care materials, and other litigation files; detailed indexing of case files; drafting procedures for accomplishing litigation support assignments; screening for privilege documents; conducting database searches; and performing e-discovery culling. Proofreads and edits deliverable products. Often works with minimal supervision. Reports to Project Manager.",Mid-Senior level,Full-time,Defense & Space,Administrative,https://www.linkedin.com/jobs/view/document-management-analyst-at-leidos-2224746877?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=16&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
127,Office Manager,ZGF Architects,"ZGF is seeking an Office Manager to join the Administrative team in our Washington, DC office. We are looking for a self-directed person to manage the day-to-day operations and office management in support of delivering excellence in design.

As , you will….",Associate,Full-time,Information Technology and Services,Administrative,https://www.linkedin.com/jobs/view/office-manager-at-zgf-architects-2224738837?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=17&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
128,Customer Success Manager,MindPoint Group,"Company Description

MindPoint Group has been focused on Cybersecurity consulting since its inception. We are the trusted cybersecurity advisors to key government and commercial decision-makers. MindPoint Group supports security operations for the most security-conscious organizations in the world, and we design and implement innovative security solutions to defend against today’s risks, and tomorrow’s potential attacks.

We believe that helping organizations operate from the best security posture possible requires automation. We believe that empowering our employees to excel and providing them with the means to do so enables MindPoint Group to consistently exceed our clients’ expectations.

Unlike many IT consultancies, we’re not a body shop. Our client engagements are challenging and growth-oriented. Our relationship with you is for the long run because in this business, your success is our success. That’s why we treat investments in employees as investments in the company itself, which is why we offer fantastic benefits (healthcare, generous PTO, paid maternity and paternity leave, and tuition reimbursement to name a few).

But you’ll want to work here for reasons that can’t be written into an offer letter—the challenge, growth opportunities, and most important: the culture of a company that cares about you.


Job Description

MindPoint Group is seeking a forward-thinking and self-motivated Customer Success Manager for Cybersecurity Services to lead an exciting and transformative program in support of our US Federal Government customers. This exciting role requires an appetite for learning, superior attention to detail, the ability to meet tight deadlines, great organizational skills, and the ability to work in a highly collaborative work environment. Professionalism in dealing with senior leaders within the Federal Government is important. The successful candidate will possess the ability to complete complex tasks and projects quickly with little to no guidance, react with appropriate urgency to situations that require a quick turnaround, and take effective action without having to know the total picture.



The candidate may perform any or all of the following:
Qualifications


Additional Information",Mid-Senior level,Full-time,Information Technology and Services,Business Development,https://www.linkedin.com/jobs/view/customer-success-manager-at-mindpoint-group-2255986764?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=18&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
129,Senior Program Officer,FHI 360,"Description

Meeting Targets and Maintaining Epidemic Control (EpiC) is a five-year global project funded by the U.S. President’s Emergency Plan for AIDS Relief (PEPFAR) and the U.S. Agency for International Development (USAID). EpiC is dedicated to achieving and maintaining HIV epidemic control and the project provides strategic technical assistance (TA) and direct service delivery (DSD) to break through barriers to 95-95-95 and promote self-reliant management of national HIV programs by improving HIV case-finding, prevention, and treatment programming. EpiC is dedicated to achieving and maintaining HIV epidemic control among at-risk adult men, women, priority populations and key populations and the project is led by FHI 360 with core partners Population Services International (PSI), Palladium Group, Right to Care, and Gobee Group. While originally designed as a HIV program, EpiC has been modified to accept Pillar 2 COVID-19 funding to prevent, prepare for, respond to and bolster health systems to address COVID-19 and reemergence. Currently, EpiC and its consortium members are implementing Pillar 2 COVID-19 activities in more than 20 countries on three continents. EpiC is seeking for qualified candidates to fill the vacant position of Program Officer III at its HQ office.

The Senior Program Officer is primarily responsible for providing technical assistance and support on a full range of project management issues to the global EpiC program and EpiC project staff located in field offices. The successful candidate will also collect, compile, and analyze information relevant to the program; provide project support for a full range of activities including project start-up, compliance and programmatic monitoring and close-out; liaise with project field offices related to program management and execution. Ensures compliance with internal and external regulations. Monitors budget for programs and develops monitoring system for reviewing project status. Ensures completion of program while adhering to budget, scope, and schedule requirements. Develops/reviews work plans, budgets, grant documents, environmental mitigation and monitoring plans, team operating agreements, USAID waiver requires and prepares presentations while supporting other related program objectives and deliverables.








There are 31 FHI 360 development competencies, of greatest focus for this particular job will be:",Associate,Full-time,Information Technology and Services,Other,https://www.linkedin.com/jobs/view/senior-program-officer-at-fhi-360-2226329610?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=19&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
130,Jr. Program Financial Analyst,Peraton,"Peration is seeking a Financial Program Analyst to support a government client in Alexandria, VA. The Analyst will be responsible for supporting a number of activities that pertain to program and budget formulation. Responsibilities involve preparing funding documents, monitoring of program execution, and evaluating financial and budgetary trends. This is an exciting opportunity to work in a technical and scientific research environment comprised of a highly technical customer base. This opportunity will broaden the candidate’s perspective of issues involved in government financing.",Mid-Senior level,Full-time,Defense & Space,Information Technology,https://www.linkedin.com/jobs/view/jr-program-financial-analyst-at-peraton-2226344100?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=20&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
131,Digital Content Manager,TEGNA,"TEGNA is searching for experienced and passionate Digital Content Managers to oversee the quality and production of editorial content across digital, mobile, app and social media platforms with an audience-first focus across all screens. We are recruiting for this position for several of our large market stations.

The Digital Content Manager reports to the Director of Digital Media and is a member of the Digital Management Team working to grow and engage audiences across all screens. This person will help create content plans for daily news; develop ongoing projects; create and help execute content flow plans; and build leadership skills throughout the digital content team.

The ideal candidate utilizes social listening and is able to explain digital data to the news team to help make editorial decision. This person is a leader with a strong voice in the editorial meetings and in the newsroom championing accuracy and audience experience on all platforms.





TEGNA Inc. (NYSE: TGNA) is an innovative media company that serves the greater good of our communities. Across platforms, TEGNA tells empowering stories, conducts impactful investigations and delivers innovative marketing solutions. With 62 television stations and four radio stations in 51 markets, TEGNA is the largest owner of top 4 affiliates in the top 25 markets, reaching over 38 percent of all television households nationwide. TEGNA also owns leading multicast networks Justice Network and Quest. TEGNA Marketing Solutions (TMS) offers innovative solutions to help businesses reach consumers across television, email, social and over-the-top (OTT) platforms, including Premion, TEGNA’s OTT advertising service. For more information, visit [ Link removed ] - URL blocked - click to apply.",Associate,Full-time,Broadcast Media,Marketing,https://www.linkedin.com/jobs/view/digital-content-manager-at-tegna-2227328545?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=21&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
132,Product Manager,JustinBradley,"A JustinBradley mortgage client is seeking a Product Manager II in their financial services department to develop a strategy for designing and implementing financial/mortgage products. The Product Manager is responsible for collaborating with stakeholder to effectively market our financial products and services. The ideal candidate is comfortable working in a fast-paced environment and will offer extensive attention-detail capabilities. If you’re interested in working for a Fortune 500 company, please apply!",Mid-Senior level,Contract,Financial Services,Product Management,https://www.linkedin.com/jobs/view/product-manager-at-justinbradley-2226305261?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=22&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
133,"Partner Development Manager, WWPS",Amazon Web Services (AWS),"Description

Would you like to own building the future for a leader in the Cloud Computing business in the public sector? Would you like to be part of a team focused on increasing awareness and adoption of Amazon Web Services (AWS) by engaging with key public sector resellers, aggregators, and system integrators who are reinventing their IT strategy by adopting and delivering cloud computing solutions? Do you have the business savvy, government business development experience necessary to help further establish Amazon as a leading cloud platform provider?

As an AWS Partner Development Manager (PDM), you will have the exciting opportunity to help shape and deliver on a strategy to build mindshare and adoption of Amazon Web Services in public sector. Your mission will be to develop AWS awareness and adoption, build AWS competency, and drive sell-through engagements with a targeted set of government resellers, aggregators, and systems integrators.

In this role, you will establish deep business and technical relationships with AWS partners through your knowledge of the customer's mission and the environment. You will have day-to-day interactions with our partners in support of government agencies, non-profits, and educational institutions. The ideal candidate will possess both a business background that enables them to drive strategic initiatives and interact at the executive level, as well as a technical background that enables them to easily interact with software developers and architects. He/she should also have a demonstrated ability to think strategically about the mission, product, and technical challenges, with the ability to build and convey compelling value propositions. You will also work very closely with the AWS sales team to build and drive joint pursuits as part of your strategic plan for the development of future opportunities. Candidates should have strong industry experience and demonstrate the ability to think big around helping partners build solutions that meets the customer's mission needs. Collaborate with internal teams will be key to helping partners innovate for their customers leveraging AWS services. Experience with public cloud, sales, solution development, Go-to-Market planning, and working Resellers and Systems/Solution Integrators is highly desired.



Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and we host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.






Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


- Amazon Web Services, Inc.
Job ID: A1326854",Mid-Senior level,Full-time,Computer Software,Sales,https://www.linkedin.com/jobs/view/partner-development-manager-wwps-at-amazon-web-services-aws-2226300500?refId=52fc139a-6627-4a7a-a11d-38f3ac8ca9af&position=23&pageNum=5&trk=public_jobs_job-result-card_result-card_full-click
134,"Program Manager, Rail Operations Central Control (ROCC) People Culture & Strategy",Washington Metropolitan Area Transit Authority (WMATA),"Job Description

Marketing Statement:

Would you like to make an impact by designing and delivering change to an organization? Do you possess the necessary skills to create dynamic and interactive programs that drive cultural improvements? Are you an effective communicator who can channel success to an operation that affects millions of people a year?

The Rail Operations Control Center (ROCC) at the Washington Metropolitan Area Transit Authority (WMATA) is under going a cultural and organizational transformation to improve standards, increase employee moral, and professionalize operations. We are seeking a talented individual to fill the role of Program Manager, Rails Operations Control Center (ROCC) People, Culture, and Strategy. The successful candidate in this role will be responsible for creating a people first culture and building the philosophy, processes and systems to ensure a highly effective recruitment, retention, and performance management of staff. As a member of the ROCC leadership team, this individual will be responsible for human capital initiatives, the well-being of staff and alignment of the team to the department's Mission, Vision, and Values.

We are looking for individuals who have a proven experience in human capital, change management, organizational development and communication. Successful candidates must have superior analytical skills, experience in process development, implementing change management progams, a strong project management background, and excellent written and verbal communiation skills.















Satisfactorily complete the medical examination for this position, if required. The incumbent must be able to perform the essential functions of this position either with or without reasonable accommodations.






The Program Manager ROCC People, Culture and Strategy supports and furthers culture change initiatives at the Rail Operations Control Center (ROCC). The incumbent leads efforts within the ROCC to drive culture change, ensure procedural compliance and adherence to safety measures. This position analyzes and evaluates complex culture and safety-related problems to develop intervention strategies to resolve identified unsafe actions and conditions that oppose the ROCC’s Mission, Vision, Values observed in the workplace. The Program Manager ROCC People, Culture, and Strategy uses all available communications channels to create dynamic and interactive programs that educate ROCC staff about safety priorities, including culture change, training, capital rebuilding efforts, new equipment, funding, and other operations and business activities that affect the duties of ROCC employees. This position helps employees understand culture change and the organization’s strategic priorities, and the role employees play in the ROCC’s success while fostering pride in the agency to create a safety culture.





Consideration will be given to applicants whose resumes demonstrate the required education and experience. Applicants should include all relevant education and work experience.

Evaluation criteria may include one or more of the following:



WMATA is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other status protected by applicable federal law.

This posting is an announcement of a vacant position under recruitment. It is not intended to replace the official job description. Job descriptions are available upon confirmation of an interview.",Not Applicable,Full-time,Transportation/Trucking/Railroad,Project Management,https://www.linkedin.com/jobs/view/program-manager-rail-operations-central-control-rocc-people-culture-strategy-at-washington-metropolitan-area-transit-authority-wmata-2227344689?refId=a7d3ca84-63e9-4040-9fcc-c5a6d1870660&position=1&pageNum=6&trk=public_jobs_job-result-card_result-card_full-click
135,Project Manager,MetroStar Systems,"MetroStar Systems is looking for a Program Manager that is passionate about leading a complex Cybersecurity program. If you want to join a company that values customer focused professionalism and are open to commuting to Fort Belvoir, VA, we want you to work for MetroStar!

Our Defense and Intel Division is responsible for providing Project Management, Staff Action Work, Planning, and Technical Support to the US Army Chief information Officer (CIO)/G6, Cybersecurity Directorate. Come be a game changer and join our team!




(This is the stuff you MUST have to be a fit)


(This is the bonus stuff that makes you stand out)





Applicants selected may be subject to a government security investigation and must meet eligibility requirements for potential access to classified information. Accordingly, US Citizenship is required",Entry level,Full-time,Information Technology and Services,Project Management,https://www.linkedin.com/jobs/view/project-manager-at-metrostar-systems-2256173816?refId=a7d3ca84-63e9-4040-9fcc-c5a6d1870660&position=2&pageNum=6&trk=public_jobs_job-result-card_result-card_full-click
136,Human Resources Manager (Part-Time),American Forest Foundation,"Job Announcement

Human Resources Manager (Part-Time)

American Forest Foundation



The American Forest Foundation (AFF) works on the ground with family forest owners, partners, and elected officials to promote stewardship and protect our nation’s forest heritage. AFF is leading the way in connecting family forest landowners with technical and financial assistance to better steward their land in service to measurable landscape-scale conservation impacts. The American Forest Foundation (AFF) ensures the sustainability of America’s family forests for present and future generations in conjunction with our strategic partners.

AFF is embarking on a bold new strategy for conservation impact across America’s family owned forests. This will be a period of complex problem solving and rapid iteration. Teams must discover the root challenges in forest conservation issues, create solutions, and adapt based on iteration and learning to develop viable and scalable models for impact. AFF is driven by values of our shared purpose, measurable and verifiable results, and learning for continuous improvement to tackle big conservation challenges in climate change mitigation, biodiversity loss, reducing threats of catastrophic wildfires, and ensuring a sustainable resource economy for rural communities.



In this role, you will serve the needs of our organization and our 50 plus employees, many of whom work remotely. In this role, you will manage all the fundamentals of human resources (benefits, compensation, compliance, recruiting, etc.) while focusing on organizational culture and onboarding of employees. We seek a manager that can use these tools to make us more effective as an organization. The position is part-time working 20-24 hours per week and will report to the Senior Director Human Resources.



You will be responsible for the management, administration, and coordination, key HR functions that will include:




This position requires the following:






We are committed to creating a diverse work environment and proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or any other basis protected by law.



For more information on the American Forest Foundation, please submit your resume and cover letter at www.forestfoundation.org. Applicants are encouraged to apply prior to the deadline as interviews will be conducted as resumes are received. A candidate could be selected prior to the deadline. To apply, please follow links.",Not Applicable,Full-time,Nonprofit Organization Management,Human Resources,https://www.linkedin.com/jobs/view/human-resources-manager-part-time-at-american-forest-foundation-2258376238?refId=a7d3ca84-63e9-4040-9fcc-c5a6d1870660&position=3&pageNum=6&trk=public_jobs_job-result-card_result-card_full-click
137,Assoc All Source Analyst,"BAE Systems, Inc.","Job Description Become an intelligence analyst and contribute directly to protecting the nation while serving on this dynamic U.S. Government counter-terrorism program. Learn to leverage numerous U.S. Government analytic tools to review daily threat reporting, perform in-depth research and analysis on threats, and submit formal intelligence reports while adhering to high quality and accuracy standards. Your work will support several facets of U.S. Government counter-terrorism efforts and contribute to the Intelligence Community’s knowledge and prevention of potential threats.



Previous analytic experience and/or proficiency with software applications/databases used in support of research and analysis for the U.S. Government a plus but not required.Demonstrated knowledge of document analysis and experience with synthesizing large amounts of data",Entry level,Full-time,Construction,Finance,https://www.linkedin.com/jobs/view/assoc-all-source-analyst-at-bae-systems-inc-2222498393?refId=a7d3ca84-63e9-4040-9fcc-c5a6d1870660&position=4&pageNum=6&trk=public_jobs_job-result-card_result-card_full-click
138,Market Operations Manager,Carvana,"About Carvana….

At Carvana, we sell cars, but we’re not salespeople. Since 2013, we’ve been making it our mission to change the way people buy cars. We saw a huge problem with how much it can suck to buy a car the traditional way, so we committed ourselves to tackling one of the largest, yet-to-be-disrupted markets in the world – the $1T per year U.S. car market (yes, that’s $Trillion with a “T”).

With the ability to search thousands of vehicles from our expansive inventory, to high-resolution 360° photographs of our vehicles’ interior and exterior, to real-time financing and the ability to complete contracts without visiting the back room of a dealership, we provide a seamless, online car buying experience for consumers that can be completed from their desktop or mobile device. All our vehicles are inspected and reconditioned based on our 150-point certification checklist and come with a 7-day return policy. We also operate our own logistics network to deliver cars to customers as soon as the next day, as well as offer customer pick-up at our state-of-the-art Car Vending Machine locations (yes, you read that right). By putting customer satisfaction at the core of our business, we’ve built a no-pressure, no-haggle online car buying experience that save our customers time and money.

For more information on Carvana, take a look at our company introduction video.



You'll need to be a great communicator, a brand ambassador, and possess the know how to get the job done.

We expect bright people, willing to roll up their sleeves, take on new assignments, and juggle many things at once.

In return for your hard work, you'll have an opportunity to work at one of the fastest growing and creative technology companies around, as well as help us promote a life-changing product and develop a world-class team every day. In our down time we have ping pong and corn hole (or “bags,” depending on where you’re from) tournaments. However, the pace is pretty quick around here, so you'll need to be prepared to keep up.



Market Operations Managers (also known as MOMs) at Carvana play a dynamic role. They need to be great communicators, brand ambassadors, and possess the know-how to get the job done. Leadership skills are critical, as MOMs provide vision for a team of extremely talented people, ranging anywhere from Lot Attendants to Team Leads, and are responsible for developing their teams into highly organized units. Not unlike your traditional mom, they consistently strive to see others succeed and grow, which they influence through their big picture thinking, and excellent communication and collaboration skills



MOMs wear a lot of hats. They oversee logistics, inventory quality, scheduling, registration paperwork, customer experience, employee experience, community outreach, mentoring and training programs. Responsibilities include but are not limited to:





This position requires a motivating and inspiring people leader that is passionate about the customer experience and isn’t afraid of S#*tL0@ds of hard work.",Mid-Senior level,Full-time,Construction,Management,https://www.linkedin.com/jobs/view/market-operations-manager-at-carvana-2225866466?refId=a7d3ca84-63e9-4040-9fcc-c5a6d1870660&position=5&pageNum=6&trk=public_jobs_job-result-card_result-card_full-click
139,Compliance Service Associate,CSC,"Job Description

The safety and security of CSC’s current and prospective employees, customers, and the communities we serve are our first priority.







This is for you.



Washington, DC

Monday - Friday, 8 AM to 5 PM

As the world’s leading provider of business, legal, tax, and digital brand services, we find ways to help all kinds of organizations run smoother and smarter. Including our own. So join us as one of our customer service professionals and we’ll make sure you have the tools and technology you need to deliver positive outcomes for your clients every time. Many of our customer service specialists have previous experience in retail, hospitality, or restaurant service. People with experience in exceeding customer and client expectations in a call center also prefer our professional environment and the interesting work.

As a Customer Service Associate, you will work behind the scenes to help our clients to stay in legal compliance by assisting with business filings, updating customer records, providing excellent customer service to internal and external clients, researching jurisdictional requirements, interacting with US Department of State, Embassies, consulates and retrieving documents as needed.







CSC is the world’s leading provider of business, legal, tax, and digital brand services to companies around the globe. From keeping your business in compliance and streamlining operations, to protecting and promoting your brand online, we use our expertise and personal approach to help your business run smoother. We are the business behind business. We are the trusted partner for 90% of the Fortune 500®, more than half of the Best Global Brands (Interbrand®), nearly 10,000 law firms, and more than 3,000 financial organizations. Headquartered in Wilmington, Delaware, USA since 1899, we have offices throughout the United States, Canada, Europe, and the Asia-Pacific region. We are a global company capable of doing business wherever our clients are—and we accomplish that by employing experts in every business we serve.

Our diversity is our strength. Our employees create an environment where everyone is valued and respected. Diverse teams give us a competitive advantage and drive innovation. We are empowered to do what is right for each other and our customers. Though we have many diverse employees, we are one company that encourages everyone to bring their best selves to work every day. We’re better together. Some people call this diversity and inclusion—we call it being genuine. CSC is an equal opportunity employer.

Disclaimer: The information above describes the general nature and level of work performed by employees in this role. It is not intended to be a description of all duties, responsibilities, and qualifications.



At CSC®, we’re always looking ahead, finding ways to improve and anticipate the future needs of our customers. Curiosity fuels our innovation and productivity drives our results. This proactive mindset has helped us adapt and create solutions that have enabled businesses to run smoother and smarter for more than 120 years.

CSC is committed to attracting, developing, and retaining talented people whose personal values align with ours. We empower our employees to bring the right solutions to market to meet customer demand. That is why we are the premier provider of global solutions for more than 180,000 businesses.",Entry level,Full-time,Financial Services,Customer Service,https://www.linkedin.com/jobs/view/compliance-service-associate-at-csc-2225867396?refId=a7d3ca84-63e9-4040-9fcc-c5a6d1870660&position=6&pageNum=6&trk=public_jobs_job-result-card_result-card_full-click
